code,name_fr,name_nl,region,type,code_search
6250,Aiseau-Presles,Aiseau-Presles,wallonia,rural,
4540,Amay,Amay,wallonia,rural,
4770,Amblève,Amel,wallonia,rural,
5300,Andenne,Andenne,wallonia,rural,
6150,Anderlues,Anderlues,wallonia,rural,
5537,Anhée,Anhée,wallonia,rural,
4430,Ans,Ans,wallonia,rural,
4160,Anthisnes,Anthisnes,wallonia,rural,
7640,Antoing,Antoing,wallonia,rural,
6700,Arlon,Aarlen,wallonia,rural,
5330,Assesse,Assesse,wallonia,rural,
7800,Ath,Aat,wallonia,rural,
6717,Attert,Attert,wallonia,rural,
6790,Aubange,Aubange,wallonia,rural,
4880,Aubel,Aubel,wallonia,rural,
4340,Awans,Awans,wallonia,rural,
4920,Aywaille,Aywaille,wallonia,rural,
4837,Baelen,Baelen,wallonia,rural,
4690,Bassenge,Bitsingen,wallonia,rural,
6600,Bastogne,Bastenaken,wallonia,rural,
6500,Beaumont,Beaumont,wallonia,rural,
5570,Beauraing,Beauraing,wallonia,rural,
1320,Beauvechain,Bevekom,wallonia,rural,
7970,Belœil,Belœil,wallonia,rural,7970
4257,Berloz,Berloz,wallonia,rural,
7320,Bernissart,Bernissart,wallonia,rural,
6687,Bertogne,Bertogne,wallonia,rural,
6880,Bertrix,Bertrix,wallonia,rural,
4610,Beyne-Heusay,Beyne-Heusay,wallonia,rural,
5555,Bièvre,Bièvre,wallonia,rural,
7130,Binche,Binche,wallonia,urban,
4670,Blegny,Blegny,wallonia,rural,4670
6830,Bouillon,Bouillon,wallonia,rural,
7300,Boussu,Boussu,wallonia,rural,
1420,Braine-l'Alleud,Eigenbrakel,wallonia,urban,
1440,Braine-le-Château,Kasteelbrakel,wallonia,rural,
7090,Braine-le-Comte,s-Gravenbrakel,wallonia,rural,
4260,Braives,Braives,wallonia,rural,
7940,Brugelette,Brugelette,wallonia,rural,
7620,Brunehaut,Brunehaut,wallonia,rural,
5080,La Bruyère,La Bruyère,wallonia,rural,
4760,Bullange,Büllingen,wallonia,rural,
4210,Burdinne,Burdinne,wallonia,rural,
4790,Burg-Reuland,Burg-Reuland,wallonia,rural,
4750,Butgenbach,Bütgenbach,wallonia,rural,
4317,Celles,Celles,wallonia,rural,
5630,Cerfontaine,Cerfontaine,wallonia,rural,
7160,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,wallonia,rural,
6000,Charleroi,Charleroi,wallonia,urban,
1450,Chastre,Chastre,wallonia,rural,
6200,Châtelet,Châtelet,wallonia,urban,
4050,Chaudfontaine,Chaudfontaine,wallonia,rural,
1325,Chaumont-Gistoux,Chaumont-Gistoux,wallonia,rural,
7950,Chièvres,Chièvres,wallonia,rural,
6460,Chimay,Chimay,wallonia,rural,
6810,Chiny,Chiny,wallonia,rural,
5590,Ciney,Ciney,wallonia,rural,
4560,Clavier,Clavier,wallonia,rural,
7340,Colfontaine,Colfontaine,wallonia,rural,
4170,Comblain-au-Pont,Comblain-au-Pont,wallonia,rural,
7780,Comines-Warneton,Komen-Waasten,wallonia,rural,
6180,Courcelles,Courcelles,wallonia,urban,
1490,Court-Saint-Étienne,Court-Saint-Etienne,wallonia,rural,
5660,Couvin,Couvin,wallonia,rural,
4367,Crisnée,Crisnée,wallonia,rural,
4607,Dalhem,Dalhem,wallonia,rural,
6929,Daverdisse,Daverdisse,wallonia,rural,
5500,Dinant,Dinant,wallonia,rural,
4820,Dison,Dison,wallonia,rural,
5680,Doische,Doische,wallonia,rural,
4357,Donceel,Donceel,wallonia,rural,
7370,Dour,Dour,wallonia,rural,
6940,Durbuy,Durbuy,wallonia,rural,
7190,Écaussinnes,Écaussinnes,wallonia,rural,7190
5310,Éghezée,Éghezée,wallonia,rural,5310
7890,Ellezelles,Elzele,wallonia,rural,
7850,Enghien,Edingen,wallonia,rural,
4480,Engis,Engis,wallonia,rural,
6997,Érezée,Érezée,wallonia,rural,6997
6560,Erquelinnes,Erquelinnes,wallonia,rural,
4130,Esneux,Esneux,wallonia,rural,
7730,Estaimpuis,Steenput,wallonia,rural,
7120,Estinnes,Estinnes,wallonia,rural,
6740,Étalle,Étalle,wallonia,rural,6740
4700,Eupen,Eupen,wallonia,rural,
4317,Faimes,Faimes,wallonia,rural,
6240,Farciennes,Farciennes,wallonia,rural,
6637,Fauvillers,Fauvillers,wallonia,rural,
5380,Fernelmont,Fernelmont,wallonia,rural,
4190,Ferrières,Ferrières,wallonia,rural,
4347,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,wallonia,rural,
4400,Flémalle,Flémalle,wallonia,rural,
4620,Fléron,Fléron,wallonia,rural,
6220,Fleurus,Fleurus,wallonia,rural,
7880,Flobecq,Vloesberg,wallonia,rural,
5150,Floreffe,Floreffe,wallonia,rural,
5620,Florennes,Florennes,wallonia,rural,
6820,Florenville,Florenville,wallonia,rural,
6140,Fontaine-l'Évêque,Fontaine-l'Evêque,wallonia,rural,
5070,Fosses-la-Ville,Fosses-la-Ville,wallonia,rural,
7080,Frameries,Frameries,wallonia,rural,
7910,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,wallonia,rural,
6440,Froidchapelle,Froidchapelle,wallonia,rural,
5575,Gedinne,Gedinne,wallonia,rural,
4250,Geer,Geer,wallonia,rural,
5030,Gembloux,Gembloers,wallonia,rural,
1470,Genappe,Genepiën,wallonia,rural,
6280,Gerpinnes,Gerpinnes,wallonia,rural,
5340,Gesves,Gesves,wallonia,rural,
6670,Gouvy,Gouvy,wallonia,rural,
4460,Grâce-Hollogne,Grâce-Hollogne,wallonia,rural,
1390,Grez-Doiceau,Graven,wallonia,rural,
6720,Habay,Habay,wallonia,rural,
6120,Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,wallonia,rural,6120
4180,Hamoir,Hamoir,wallonia,rural,
5360,Hamois,Hamois,wallonia,rural,
4280,Hannut,Hannuit,wallonia,rural,
5540,Hastière,Hastière,wallonia,rural,
5370,Havelange,Havelange,wallonia,rural,
1357,Hélécine,Hélécine,wallonia,rural,
7350,Hensies,Hensies,wallonia,rural,
6887,Herbeumont,Herbeumont,wallonia,rural,
4217,Héron,Héron,wallonia,rural,
4040,Herstal,Herstal,wallonia,urban,
4650,Herve,Herve,wallonia,rural,
7387,Honnelles,Honnelles,wallonia,rural,
6990,Hotton,Hotton,wallonia,rural,
6660,Houffalize,Houffalize,wallonia,rural,
5560,Houyet,Houyet,wallonia,rural,
1310,La Hulpe,Terhulpen,wallonia,rural,
4500,Huy,Hoei,wallonia,rural,
1315,Incourt,Incourt,wallonia,rural,
1460,Ittre,Itter,wallonia,rural,
4845,Jalhay,Jalhay,wallonia,rural,
5190,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,wallonia,rural,
1370,Jodoigne,Geldenaken,wallonia,rural,
4450,Juprelle,Juprelle,wallonia,rural,
7050,Jurbise,Jurbeke,wallonia,rural,
4720,La Calamine,Kelmis,wallonia,rural,
1380,Lasne,Lasne,wallonia,rural,
6860,Léglise,Léglise,wallonia,rural,
7870,Lens,Lens,wallonia,rural,
6210,Les Bons Villers,Les Bons Villers,wallonia,rural,
7860,Lessines,Lessen,wallonia,rural,
7900,Leuze-en-Hainaut,Leuze-en-Hainaut,wallonia,rural,
6890,Libin,Libin,wallonia,rural,
6800,Libramont-Chevigny,Libramont-Chevigny,wallonia,rural,
4000,Liège,Luik,wallonia,urban,
4990,Lierneux,Lierneux,wallonia,rural,
4830,Limbourg,Limburg,wallonia,rural,
4287,Lincent,Lijsem,wallonia,rural,
6540,Lobbes,Lobbes,wallonia,rural,
4710,Lontzen,Lontzen,wallonia,rural,
7100,La Louvière,La Louvière,wallonia,urban,
4960,Malmedy,Malmedy,wallonia,rural,
