key,questionId,questionOrder,en.text,fr.text,nl.text,noticeExists,en.notice,fr.notice,nl.notice
2018_be_municipal_wallonia_rural,4,6,"Taxes should be lowered, even if it means a reduction in public services.","Il faut réduire les impôts, même si cela entraîne une diminution de l'impact des services publics.","De belastingdruk moet worden verlaagd, zelfs indien dit ten koste gaat van de impact van de openbare dienstverlening. ",FALSE,,,
2018_be_municipal_wallonia_rural,20,13," The public authority may own companies exposed to competition (telephone, newspaper, bank, etc.).","Les Pouvoirs publics peuvent être propriétaires d'entreprises 'privées' soumises à concurrence, p.ex. médias, banques, opérateurs télécom. ","De overheid mag eigenaar zijn van 'private' ondernemigen die onderhevig zijn aan concurrentie (telecom, media, banken, enz.).",TRUE,,"Au sein de l’Union européenne, les Pouvoirs publics peuvent être propriétaires, en partie ou totalement, d’entreprises économiques pour autant que leur gestion ne déroge pas aux règlementations européennes imposant le respect  des règles de concurrence non faussée qui interdisent les subventions déguisées sauf pour les entreprises chargées de mission de services publics comme la Poste et la SNCB. Dans des secteurs comme ceux de l’édition, de la communication et de la culture, la Commission européenne admet des aides publiques pour soutenir la création et maintenir la diversité des opinions.","Binnen de Europese Unie kunnen overheden geheel of gedeeltelijk eigenaar zijn van handelsondernemingen, op voorwaarde dat het beheer ervan niet in strijd is met de Europese regelgeving inzake eerlijke concurrentie, die verborgen overheidssteun verbiedt, behalve voor ondernemingen die moeten zorgen voor openbare dienstverlening, zoals de Post en de NMBS. In sectoren zoals uitgeverij, communicatie en cultuur, staat de Europese Commissie overheidssteun toe om de creativiteit te bevorderen en de verscheidenheid van meningen in stand te houden."
2018_be_municipal_wallonia_rural,21,21,"To alleviate poverty, some basic goods and services should be provided free of charge or at low cost.","Pour remédier à la pauvreté, il faut offrir, gratuitement ou avec une forte réduction de prix, certains biens et services fondamentaux. ","Om de armoede te bestrijden, moeten bepaalde basisgoederen en -diensten gratis of met forse prijsvermindering aangeboden worden.",TRUE,,"On pense notamment à l'enseignement (y compris les frais dérivés de la scolarité, comme le matériel scolaire, etc), l'énergie, le logement, les soins médicaux, les crèches, le transport. En 2016, le nombre de belges se trouvant sous le seuil de pauvreté était estimé à 14,9%, en sachant que ce seuil se trouve à 1083€ par mois pour une personne seule et 2274€ par mois pour une famille de deux adultes avec deux enfants . 
L’offre de certains service gratuits, se distingue clairement du concept d’allocation universelle, mais s’en rapproche. Il s’agit, en quelque sorte, d’une allocation « en nature ». 
La commune peut typiquement agir au niveau des crèches, du logement (dans le cadre du CPAS) et du transport public.
","Men denkt onder andere aan onderwijs, energie, huisvesting, medische zorg, kinderdagverblijf, transport. In 2016 werd het aantal Belgen die onder de armoededrempel leven geschat op 14,9 %. Die drempel ligt op 1083€ per maand voor een alleenstaande persoon en op 2274€ voor een familie van twee volwassenen met twee kinderen.  Het gratis dienstenaanbod is niet te verwarren met het concept van algemene uitkering maar benadert het mits het in zekere zin gaat om een uitkering « in natura ». De gemeente kan typisch handelen wat de kinderdagverblijven betreft , woningen (in het kader van het OCMW) en het openbaar transport"
2018_be_municipal_wallonia_rural,22,9,All public officials should be required to report their income (including benefits in kind) derived from their public activity.,Tous les mandataires publics doivent déclarer leurs revenus et les avantages en nature tirés de leurs activités publiques.,"Alle politieke mandatarissen moeten de inkomsten (incl. voordelen in natura) verkregen uit hun openbare activiteit, openbaar maken.",TRUE,,"En Belgique, la plupart des mandataires publics, les dirigeants de cabinets ministériels, certains hauts fonctionnaires doivent périodiquement déposer à la Cour des Comptes une déclaration de patrimoine et une liste de leurs mandats, fonctions ou professions.
Ces listes concernent tous les mandats, fonctions et professions, rémunérées ou non, et sont publiées au Moniteur belge.
Les déclarations de patrimoine sont déposées, sous pli fermé, à la Cour des Comptes. Elles doivent décrire l’état du patrimoine mobilier et immobilier. Cette déclaration doit être complétée seulement en cas de modification de celui-ci. La déclaration étant strictement confidentielle, elle ne peut être ouverte que par un juge d’instruction dans le cadre d’une procédure judiciaire. Les déclarations de patrimoine sont renvoyées aux déposants à l’issue d’une période ininterrompue de non obligation de six ans.
En Belgique, à la différence de nombreux pays voisins, il n’existe pas d’obligations pour les mandataires politiques élus de déposer des informations sur leurs revenus pendant la durée de leurs mandats.
","In België moeten de meeste overheidsmandatarissen, de leiders van ministeriële kabinetten en sommige hoge ambtenaren bij het Rekenhof geregeld een vermogensverklaring indienen, alsmede een lijst van hun mandaten, functies of beroepen.
Die lijsten hebben betrekking op alle bezoldigde en onbezoldigde mandaten, functies en beroepen en ze worden gepubliceerd in het Belgisch Staatsblad.
Die vermogensverklaringen worden onder gesloten omslag ingediend bij het Rekenhof. Ze moeten een beschrijving geven van het roerend en onroerend bezit. Die verklaring dient enkel te worden aangepast wanneer het vermogen verandert. Aangezien de verklaring strikt vertrouwelijk is, mag ze slechts worden geopend door en onderzoeksrechter in het kader van een gerechtelijke procedure. De vermogensverklaringen worden aan de indieners terugbezorgd na een ononderbroken periode van zes jaar waarin die verplichting niet meer gold.
Anders dan in veel buurlanden zijn verkozen politieke mandatarissen in België niet verplicht informatie over hun inkomsten te geven tijdens de duur van hun mandaat.
"
2018_be_municipal_wallonia_rural,23,2,Public employees may wear signs of their religious or philosophical beliefs even if they are in contact with the public.,"Les fonctionnaires peuvent porter des signes révélant leur appartenance religieuse et / ou philosophique, même s'ils sont en contact avec le public.",Ambtenaren mogen hun godsdienstige - of filosofische overtuiging kenbaar maken zelfs bij contacten met de bevolking.,TRUE,,"Le port du voile intégral (Burqa), couvrant le visage, est interdit en Belgique depuis la loi du 28/04/2011. Cette loi oblige toute  personne, sur l’espace public, à être identifiable en permanence et donc interdit de dissimuler, même partiellement, le visage. Des recours pour atteinte à la liberté d’expression et à la protection de la vie privée ont été portés devant la Cour constitutionnelle qui les a rejetés.","In België is het door de wet van 28/04/2011 verboden een volledige sluier (boerka) te dragen, die het gezicht bedekt. Volgens die wet moet iedereen in de openbare ruimte voortdurend herkenbaar zijn en mag het gezicht dus zelfs niet gedeeltelijk worden bedekt. De bezwaren die bij het Grondwettelijk Hof werden ingediend wegens aantasting van de vrije meningsuiting en van de bescherming van de persoonlijke levenssfeer, werden afgewezen."
2018_be_municipal_wallonia_rural,31,20,"In general, penalties for criminal offenses should be more severe.","D'une façon générale, les sanctions contre les délits devraient être plus sévères.",In het algemeen zouden misdrijven strenger bestraft moeten worden.,FALSE,,,
2018_be_municipal_wallonia_rural,38,11,"Big economic and social projects, e.g. involving major investments, should be submitted to a public consultation.","Les Pouvoirs publics devraient soumettre à consultation populaire leurs grands projets, p.e. l'opportunité d'un grand investissement.","Grote economische en sociale projecten, b.v. grote investeringen met zich meebrengen, moeten aan een openbare raadpleging worden voorgelegd.",TRUE,,"Par définition, les projets de grands travaux d’intérêt général visent le bien-être à long terme, après un temps de réalisation déjà long lui-même ! Quelle que soit l’instance qui décide, elle doit avoir une capacité de se détacher de l’intérêt immédiat pour privilégier le long terme. A la différence du référendum dont les conclusions s’imposent au Pouvoir politique qui l’a organisé, la consultation populaire laisse à ses organisateurs l’appréciation des suites à donner. Actuellement, la décision sur les grands travaux est précédée d’une étude d’impact, avec une enquête publique permettant aux participants d’émettre toutes les questions et les objections. Les initiateurs du projet doivent y répondre, et, le cas échéant, corriger le projet.","Plannen voor grote werken van algemeen belang mikken per definitie op de lange termijn, terwijl de uitvoering ervan zelf ook lang duurt! Eender welke instantie die zulk een beslissing neemt, moet afstand kunnen nemen van het onmiddellijke voordeel om op lange termijn te denken. In tegenstelling tot het referendum, waarvan het resultaat bindend is voor de overheid die het heeft georganiseerd, kunnen de organisatoren van een volksraadpleging oordelen over de gevolgen die ze er zullen aan geven. Tegenwoordig worden beslissingen over grote werken voorafgegaan door een effectenstudie en door een openbaar onderzoek waarbij de deelnemers vragen kunnen stellen en bezwaren uiten. De initiatiefnemers van het project moeten daarop antwoorden en hun plannen desgevallend corrigeren."
2018_be_municipal_wallonia_rural,46,16,"Public debt should only be used for investments (buildings, infrastructure) and not for the day-to-day costs of running public services.","L’endettement public ne peut pas financer les dépenses courantes. Il doit être réservé aux investissements (bâtiments, infrastructure).","Staatsleningen mogen niet dienen om lopende uigaven te financieren. Zij moeten bestemd zijn voor investeringen (gebouwen, infrastructuur).",FALSE,,,
2018_be_municipal_wallonia_rural,49,3,Welfare benefits to immigrants should depend on their successful completion of an integration programme.,L’aide sociale aux immigrés doit être modulée en fonction de leur réussite d'un parcours d'intégration.,Sociale bijstand aan immigranten moet worden gemoduleerd op basis van hun vorderingen in een integratieproces.,FALSE,,,
2018_be_municipal_wallonia_rural,58,17,Speed limits of 30 km/h should only be enforced in dangerous places.,Les limitations de vitesse à 30 km/h doivent être strictement réservées à des points sensibles.,De snelheidsbeperkingen van 30 km/u moeten strikt beperkt worden tot de gevoelige punten.,TRUE,,"La limitation de vitesse à 30km/h se justifie particulièrement lorsque la circulation automobile traverse des zones urbaines fréquentées régulièrement par des piétons et des cyclistes et où la fonction de séjour est prépondérante  comme les abords d’écoles, de centres sportifs, les marchés  ou dans les quartiers d’habitations  lorsque la voirie sert également d’aire de jeux pour les enfants.
Les zones « trente » ne doivent plus obligatoirement être annoncées par des rétrécissements de l’espace public. Les autorités publiques en Belgique comme dans les pays scandinaves encouragent l’extension des « zones trente » à l’ensemble des quartiers où prédomine l’habitat et les activités à forte fréquentation de piétons et de cyclistes.
","De snelheidsbeperking tot 30km/u is in het bijzonder verantwoord wanneer het autoverkeer stedelijke gebieden doorkruist, die geregeld worden gebruikt door voetgangers of fietsers of die overwegend residentieel zijn, zoals de omgeving van scholen, sportcentra, markten en woonwijken, wanneer er ook kinderen op straat spelen.
De zones “dertig” hoeven niet meer te worden aangeduid door versmallingen van de openbare ruimte. Net zoals in de Scandinavische landen, moedigen de Belgische overheden de uitbreiding van de “zones dertig” aan tot alle wijken die vooral voor bewoning dienen en die veelvuldig worden gebruikt door voetgangers en fietsers.
"
